"V1","V2","V3","V4","V5","V6"
0.59334602,0.56935119,-0.050652758,-0.025790596,0.68786112,0.8947287
0.45479077,-0.12515436,-0.230979,0.50037395,1.0762812,0.93738818
1.2317503,4.9841062,-0.32114211,0.5560706,-0.37786573,0.72409077
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.1621019,-0.35075807,2.5189961,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.36281583,0.63128162,0.039510361,0.062817709,-0.37786573,0.66314866
0.60130701,-0.45250093,-0.14081588,-0.85955255,-0.37786573,-0.94572324
-0.2821944,-0.45250093,-0.14081588,1.3387773,-0.37786573,0.96785924
-0.058439538,-0.15611958,0.62557063,0.29277736,-0.37786573,1.1598269
0.32351899,1.3302108,0.08459192,-0.85955255,-0.37786573,-0.94572324
0.61993914,2.7015275,-0.45638679,1.6387797,-0.37786573,0.4285215
1.0393313,1.3080928,-0.32114211,0.96451269,-0.37786573,0.86425764
-0.42108841,-0.44807732,0.49032595,0.49024729,-0.37786573,0.65400734
1.664185,4.0507262,-0.36622367,1.6096655,-0.37786573,0.67838418
-0.13635569,-0.36845248,0.30999972,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.19191329,-0.35518168,0.98622311,0.10416825,-0.37786573,0.95567082
-0.3099732,-0.41268851,0.30999972,0.014294113,-0.37786573,1.4127367
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.21291678,-0.24016802,1.6624465,0.26070959,-0.37786573,0.95262371
0.70700197,0.029671718,-0.230979,0.88687494,-0.37786573,0.95871792
-0.24611584,-0.43480652,-0.14081588,0.689405,-0.37786573,1.2085806
7.5946205,-0.42153571,-0.54654991,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.30472233,-0.45250093,-0.050652758,-0.85955255,-0.37786573,-0.94572324
-0.10400355,-0.31094565,0.58048907,1.6805522,-0.37786573,0.96785924
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
1.0850647,5.0460367,0.35508128,1.4172589,-0.37786573,0.45899256
-0.069957578,-0.33748727,-0.050652758,0.6788564,-0.37786573,0.59915943
0.25119248,-0.28882764,-0.095734317,0.16619406,-0.37786573,0.9983303
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.042517541,0.073907741,2.2935883,-0.85955255,-0.37786573,-0.94572324
-0.29964084,-0.30209845,-0.27606055,-0.1696736,4.8789913,1.1537327
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.13533939,-0.38172329,0.30999972,0.66830779,1.4310186,1.2634285
-0.46953193,-0.42595931,1.301794,0.43708231,-0.37786573,0.89777581
-0.377557,-0.44807732,-0.36622367,0.10121464,3.0021491,0.55040574
0.29624834,-0.12957796,0.2198366,1.1337124,0.3157062,1.3761714
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.030317123,-0.38614689,0.35508128,-0.85955255,-0.37786573,-0.94572324
-0.55540908,-0.45250093,1.8427727,-0.85955255,-0.37786573,-0.94572324
12.743862,-0.45250093,-0.54654991,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.24865658,-0.41268851,0.53540751,0.73961638,0.66082943,1.0257543
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.70920395,0.13583817,-0.45638679,-0.85955255,-0.37786573,-0.94572324
0.34655507,-0.41711211,0.17475504,1.6079778,0.25416877,0.86425764
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.22324914,-0.33306367,-0.41130523,0.50923478,-0.37786573,0.8429279
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.062504728,-0.43480652,-0.050652758,0.54594394,0.62599444,0.92519976
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.20241019,0.22873382,-0.14081588,0.51514201,-0.37786573,0.73018498
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.98411246,1.1798083,0.039510361,0.76788664,-0.37786573,0.60525364
-0.43396152,-0.45250093,-0.095734317,0.18391572,-0.37786573,0.61439496
1.1011561,3.8560877,-0.230979,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.73901535,0.25527543,-0.45638679,-0.85955255,-0.37786573,-0.94572324
0.41329195,0.30835866,-0.36622367,0.93160104,1.2594118,1.1537327
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.4480203,-0.45250093,0.76081531,-0.85955255,-0.37786573,-0.94572324
0.13635084,-0.35518168,-0.27606055,-0.85955255,-0.37786573,-0.94572324
0.1397385,-0.33748727,-0.41130523,-0.85955255,-0.37786573,-0.94572324
0.32910863,1.6044741,-0.14081588,-0.85955255,-0.37786573,-0.94572324
-0.38365478,-0.42153571,0.44524439,0.062817709,-0.37786573,0.6326776
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.40686025,-0.43038291,0.40016284,0.58476282,1.9527532,0.41328597
-0.39330961,-0.43923012,0.94114155,0.34130095,-0.37786573,1.421878
0.065210009,1.1532667,-0.18589744,0.39446593,-0.37786573,1.0318485
0.41007368,-0.25786243,-0.45638679,0.42147037,-0.37786573,0.6326776
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
1.1690786,-0.45250093,-0.36622367,-0.85955255,-0.37786573,-0.94572324
1.1191107,0.83919093,-0.27606055,2.1252815,-0.37786573,0.86730475
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.33808593,0.096025752,-0.36622367,0.29952846,1.108087,0.76675026
0.58352181,0.28181705,-0.14081588,1.1691557,0.57611257,1.0105187
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
1.1479058,4.8248565,0.26491816,-0.85955255,-0.37786573,-0.94572324
-0.28050057,-0.44365372,-0.14081588,0.54763172,2.6000651,1.2420988
0.29218315,1.4983077,0.71573375,0.78138886,-0.086476622,1.1842038
-0.3387683,-0.43038291,3.4206273,0.87295078,0.12701117,0.61744207
-0.33842954,-0.24901522,2.6542408,0.03750105,-0.37786573,1.3517946
-0.02574863,-0.054376724,0.2198366,-0.85955255,-0.37786573,-0.94572324
1.5540861,5.0681547,-0.230979,1.6299189,0.21706193,0.78808
-0.34266411,-0.25343882,1.3468756,0.74510165,-0.37786573,1.2908525
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.038108738,-0.36845248,-0.050652758,0.29446513,-0.37786573,0.69361971
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.16497656,-0.16939038,-0.18589744,1.0413066,1.5127063,1.0409898
0.23594801,0.32605307,-0.095734317,1.1425732,0.9588036,1.1506856
-0.023885418,-0.3994177,0.35508128,1.2775954,-0.37786573,1.5102441
0.59283787,0.66667044,-0.050652758,-0.85955255,-0.37786573,-0.94572324
-0.02574863,-0.34191087,-0.095734317,-0.85955255,-0.37786573,-0.94572324
-0.24103435,-0.34191087,0.76081531,0.87210689,0.35633604,1.2756169
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.39855564,0.01197731,-0.27606055,1.7463755,-0.37786573,1.2725698
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
2.4867085,-0.45250093,-0.54654991,-0.85955255,-0.37786573,-0.94572324
-0.19038885,-0.36402888,-0.14081588,-0.85955255,-0.37786573,-0.94572324
0.10755574,-0.04552952,-0.36622367,1.2159915,-0.37786573,1.0288014
0.15193407,-0.11630716,4.1870138,1.1370879,-0.37786573,0.58697101
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.30573863,-0.45250093,-0.41130523,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.45293241,-0.43923012,0.12967348,0.40332676,-0.37786573,1.047084
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
1.47888,4.9221758,-0.27606055,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.21613506,-0.36845248,-0.050652758,0.23665876,-0.37786573,0.9465295
-0.17175672,-0.45250093,-0.18589744,0.88771883,-0.37786573,1.0501311
0.29438513,-0.19150839,0.17475504,0.62400364,0.7038299,1.1567798
-0.40347259,-0.44807732,-0.18589744,-0.12241584,-0.37786573,0.66619576
-0.013383676,-0.29325125,-0.14081588,0.57758976,-0.37786573,1.7113531
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.016093803,-0.24901522,-0.050652758,0.67337112,-0.37786573,1.2024864
-0.43243707,-0.43923012,0.26491816,0.53370755,-0.37786573,0.59306522
-0.32894409,-0.35960528,-0.230979,0.27547764,1.7706104,1.2329575
-0.13500063,-0.31979286,0.44524439,0.65649335,0.27942249,1.2756169
0.57996476,0.46760834,0.35508128,0.85185356,-0.37786573,1.4584433
0.018799083,-0.24016802,1.0313047,0.77252803,0.15384531,1.2908525
-0.26186845,-0.45250093,-0.230979,0.50037395,-0.37786573,1.2756169
2.1952005,-0.45250093,-0.36622367,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.18733996,-0.36845248,-0.14081588,0.82442718,4.1786697,1.3670301
-0.076732895,-0.3994177,1.3468756,0.4265337,0.14633834,1.2695227
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
-0.78441482,-0.47019533,-0.59163147,-0.85955255,-0.37786573,-0.94572324
0.25102309,0.0075537073,0.62557063,-0.85955255,-0.37786573,-0.94572324
0.11636366,-0.23574442,0.17475504,-0.85955255,-0.37786573,-0.94572324
0.33266567,-0.094189144,0.40016284,1.151856,-0.37786573,1.2664756
-0.4719033,-0.41268851,-0.59163147,0.6303328,-0.37786573,0.35234386
0.39974132,0.32605307,-0.050652758,0.49573257,0.42268057,0.80331553
0.19275536,0.84361453,-0.230979,-0.85955255,-0.37786573,-0.94572324
0.83691868,4.1878578,0.44524439,0.76408915,-0.37786573,0.529076
-0.20614146,-0.37729969,1.4370387,0.1636624,-0.1075159,1.3700772
-0.095534402,-0.4082649,0.44524439,1.5020697,0.46258606,1.1415443
